"","err","mad","mse","p","k","aggId"
"knn dla p=1, k=1, agregator moda",84.108,1.901,5.3566,1,1,1
"knn dla p=1, k=1, agregator srednia_a",70.806,1.3138,3.2831,1,1,2
"knn dla p=1, k=1, agregator mediana",83.725,1.831,4.9216,1,1,3
"knn dla p=1, k=1, agregator minkara1.5",89.381,3.551,17.2849,1,1,4
"knn dla p=1, k=1, agregator minkara3.0",83.389,1.8248,4.8871,1,1,5
"knn dla p=1, k=1, agregator wazonyrand",86.722,2.2476,7.7228,1,1,6
"knn dla p=1, k=3, agregator moda",70.015,1.3097,3.3059,1,3,1
"knn dla p=1, k=3, agregator srednia_a",68.433,1.1515,2.5466,1,3,2
"knn dla p=1, k=3, agregator mediana",68.433,1.1515,2.5466,1,3,3
"knn dla p=1, k=3, agregator minkara1.5",73.011,1.4382,3.8312,1,3,4
"knn dla p=1, k=3, agregator minkara3.0",68.433,1.1515,2.5466,1,3,5
"knn dla p=1, k=3, agregator wazonyrand",71.189,1.3595,3.4914,1,3,6
"knn dla p=1, k=5, agregator moda",69.416,1.2239,2.885,1,5,1
"knn dla p=1, k=5, agregator srednia_a",69.224,1.0961,2.2367,1,5,2
"knn dla p=1, k=5, agregator mediana",68.553,1.1055,2.3328,1,5,3
"knn dla p=1, k=5, agregator minkara1.5",75.958,1.6246,4.6615,1,5,4
"knn dla p=1, k=5, agregator minkara3.0",69.368,1.1028,2.2539,1,5,5
"knn dla p=1, k=5, agregator wazonyrand",71.908,1.3579,3.4758,1,5,6
"knn dla p=1, k=7, agregator moda",68.361,1.1908,2.7882,1,7,1
"knn dla p=1, k=7, agregator srednia_a",69.919,1.0774,2.124,1,7,2
"knn dla p=1, k=7, agregator mediana",67.93,1.0739,2.2139,1,7,3
"knn dla p=1, k=7, agregator minkara1.5",77.996,1.7507,5.2329,1,7,4
"knn dla p=1, k=7, agregator minkara3.0",70.446,1.0899,2.1408,1,7,5
"knn dla p=1, k=7, agregator wazonyrand",72.411,1.3763,3.5308,1,7,6
"knn dla p=1, k=9, agregator moda",68.241,1.1872,2.7788,1,9,1
"knn dla p=1, k=9, agregator srednia_a",69.871,1.0693,2.0803,1,9,2
"knn dla p=1, k=9, agregator mediana",67.906,1.0643,2.1717,1,9,3
"knn dla p=1, k=9, agregator minkara1.5",79.242,1.8468,5.6833,1,9,4
"knn dla p=1, k=9, agregator minkara3.0",71.477,1.0945,2.1069,1,9,5
"knn dla p=1, k=9, agregator wazonyrand",72.171,1.3785,3.552,1,9,6
"knn dla p=1, k=11, agregator moda",66.827,1.1529,2.6798,1,11,1
"knn dla p=1, k=11, agregator srednia_a",70.062,1.058,2.0111,1,11,2
"knn dla p=1, k=11, agregator mediana",67.762,1.0535,2.1225,1,11,3
"knn dla p=1, k=11, agregator minkara1.5",80.369,1.9298,6.0836,1,11,4
"knn dla p=1, k=11, agregator minkara3.0",72.148,1.0954,2.0667,1,11,5
"knn dla p=1, k=11, agregator wazonyrand",73.059,1.3909,3.5645,1,11,6
"knn dla p=1, k=13, agregator moda",67.09,1.1532,2.6623,1,13,1
"knn dla p=1, k=13, agregator srednia_a",70.254,1.0513,1.9732,1,13,2
"knn dla p=1, k=13, agregator mediana",67.666,1.0487,2.1048,1,13,3
"knn dla p=1, k=13, agregator minkara1.5",81.52,2.0048,6.45,1,13,4
"knn dla p=1, k=13, agregator minkara3.0",72.795,1.0923,2.019,1,13,5
"knn dla p=1, k=13, agregator wazonyrand",71.621,1.3493,3.4274,1,13,6
"knn dla p=1, k=15, agregator moda",66.659,1.1445,2.6283,1,15,1
"knn dla p=1, k=15, agregator srednia_a",69.991,1.0467,1.9595,1,15,2
"knn dla p=1, k=15, agregator mediana",67.283,1.0374,2.0643,1,15,3
"knn dla p=1, k=15, agregator minkara1.5",82.263,2.0642,6.7631,1,15,4
"knn dla p=1, k=15, agregator minkara3.0",73.154,1.0952,2.0142,1,15,5
"knn dla p=1, k=15, agregator wazonyrand",72.171,1.3912,3.5892,1,15,6
"knn dla p=1, k=17, agregator moda",66.299,1.1386,2.6156,1,17,1
"knn dla p=1, k=17, agregator srednia_a",70.614,1.0503,1.9545,1,17,2
"knn dla p=1, k=17, agregator mediana",67.258,1.0364,2.0624,1,17,3
"knn dla p=1, k=17, agregator minkara1.5",82.814,2.1153,7.0318,1,17,4
"knn dla p=1, k=17, agregator minkara3.0",73.514,1.1064,2.0355,1,17,5
"knn dla p=1, k=17, agregator wazonyrand",71.524,1.3878,3.6347,1,17,6
"knn dla p=1, k=19, agregator moda",66.108,1.1402,2.636,1,19,1
"knn dla p=1, k=19, agregator srednia_a",70.614,1.0484,1.942,1,19,2
"knn dla p=1, k=19, agregator mediana",67.211,1.035,2.0624,1,19,3
"knn dla p=1, k=19, agregator minkara1.5",83.437,2.1642,7.2844,1,19,4
"knn dla p=1, k=19, agregator minkara3.0",73.993,1.1088,2.0298,1,19,5
