"","err","mad","mse","p","k","aggId"
"knn dla p=1, k=1, agregator moda",87.37,2.3736,8.5994,1,1,1
"knn dla p=1, k=1, agregator srednia_a",65.25,1.0993,2.4273,1,1,2
"knn dla p=1, k=1, agregator mediana",87.602,1.9922,5.4609,1,1,3
"knn dla p=1, k=1, agregator minkara1.5",87.553,3.5021,17.5106,1,1,4
"knn dla p=1, k=1, agregator minkara3.0",87.236,1.9998,5.508,1,1,5
"knn dla p=1, k=1, agregator wazonyrand",87.761,2.3623,8.3438,1,1,6
"knn dla p=1, k=3, agregator moda",65.213,1.1103,2.4991,1,3,1
"knn dla p=1, k=3, agregator srednia_a",61.793,0.924,1.7412,1,3,2
"knn dla p=1, k=3, agregator mediana",61.793,0.924,1.7412,1,3,3
"knn dla p=1, k=3, agregator minkara1.5",71.443,1.3401,3.3251,1,3,4
"knn dla p=1, k=3, agregator minkara3.0",61.793,0.924,1.7412,1,3,5
"knn dla p=1, k=3, agregator wazonyrand",67.29,1.1675,2.6798,1,3,6
"knn dla p=1, k=5, agregator moda",63.466,1.0606,2.3556,1,5,1
"knn dla p=1, k=5, agregator srednia_a",63.088,0.8771,1.4883,1,5,2
"knn dla p=1, k=5, agregator mediana",60.401,0.8562,1.5002,1,5,3
"knn dla p=1, k=5, agregator minkara1.5",77.965,1.6707,4.6622,1,5,4
"knn dla p=1, k=5, agregator minkara3.0",63.54,0.8908,1.5238,1,5,5
"knn dla p=1, k=5, agregator wazonyrand",68.022,1.1876,2.7457,1,5,6
"knn dla p=1, k=7, agregator moda",63.259,1.0393,2.2527,1,7,1
"knn dla p=1, k=7, agregator srednia_a",63.454,0.8542,1.3831,1,7,2
"knn dla p=1, k=7, agregator mediana",60.181,0.8327,1.4133,1,7,3
"knn dla p=1, k=7, agregator minkara1.5",81.617,1.9245,5.8422,1,7,4
"knn dla p=1, k=7, agregator minkara3.0",65.824,0.9028,1.4886,1,7,5
"knn dla p=1, k=7, agregator wazonyrand",68.865,1.2527,3.025,1,7,6
"knn dla p=1, k=9, agregator moda",62.734,1.0244,2.2024,1,9,1
"knn dla p=1, k=9, agregator srednia_a",64.432,0.8529,1.3449,1,9,2
"knn dla p=1, k=9, agregator mediana",60.23,0.8172,1.3521,1,9,3
"knn dla p=1, k=9, agregator minkara1.5",83.657,2.128,6.886,1,9,4
"knn dla p=1, k=9, agregator minkara3.0",68.304,0.9361,1.5271,1,9,5
"knn dla p=1, k=9, agregator wazonyrand",70.16,1.269,3.0642,1,9,6
"knn dla p=1, k=11, agregator moda",62.172,1.0077,2.1461,1,11,1
"knn dla p=1, k=11, agregator srednia_a",65.201,0.8643,1.3609,1,11,2
"knn dla p=1, k=11, agregator mediana",60.083,0.8099,1.3254,1,11,3
"knn dla p=1, k=11, agregator minkara1.5",85.001,2.2775,7.687,1,11,4
"knn dla p=1, k=11, agregator minkara3.0",70.246,0.9657,1.5762,1,11,5
"knn dla p=1, k=11, agregator wazonyrand",71.211,1.3145,3.2686,1,11,6
"knn dla p=1, k=13, agregator moda",62.501,1.0054,2.1245,1,13,1
"knn dla p=1, k=13, agregator srednia_a",66.398,0.8736,1.3607,1,13,2
"knn dla p=1, k=13, agregator mediana",60.34,0.8051,1.2951,1,13,3
"knn dla p=1, k=13, agregator minkara1.5",85.807,2.4088,8.4559,1,13,4
"knn dla p=1, k=13, agregator minkara3.0",71.785,0.9924,1.6264,1,13,5
"knn dla p=1, k=13, agregator wazonyrand",71.125,1.3165,3.2947,1,13,6
"knn dla p=1, k=15, agregator moda",61.976,0.9905,2.0773,1,15,1
"knn dla p=1, k=15, agregator srednia_a",67.534,0.8865,1.3753,1,15,2
"knn dla p=1, k=15, agregator mediana",60.498,0.8073,1.298,1,15,3
"knn dla p=1, k=15, agregator minkara1.5",86.173,2.5016,9.0346,1,15,4
"knn dla p=1, k=15, agregator minkara3.0",72.75,1.0095,1.654,1,15,5
"knn dla p=1, k=15, agregator wazonyrand",71.638,1.3611,3.4844,1,15,6
"knn dla p=1, k=17, agregator moda",61.573,0.9773,2.0241,1,17,1
"knn dla p=1, k=17, agregator srednia_a",67.791,0.8903,1.3796,1,17,2
"knn dla p=1, k=17, agregator mediana",61.06,0.808,1.2887,1,17,3
"knn dla p=1, k=17, agregator minkara1.5",86.417,2.5856,9.5805,1,17,4
"knn dla p=1, k=17, agregator minkara3.0",73.531,1.025,1.6846,1,17,5
"knn dla p=1, k=17, agregator wazonyrand",71.699,1.3645,3.4913,1,17,6
"knn dla p=1, k=19, agregator moda",61.634,0.9809,2.0553,1,19,1
"knn dla p=1, k=19, agregator srednia_a",69.354,0.9067,1.3938,1,19,2
"knn dla p=1, k=19, agregator mediana",61.28,0.8074,1.2791,1,19,3
"knn dla p=1, k=19, agregator minkara1.5",86.613,2.6582,10.0746,1,19,4
"knn dla p=1, k=19, agregator minkara3.0",74.105,1.0454,1.738,1,19,5
"knn dla p=1, k=19, agregator wazonyrand",71.162,1.3921,3.6623,1,19,6
"knn dla p=2, k=1, agregator moda",87.334,2.5277,9.7828,2,1,1
"knn dla p=2, k=1, agregator srednia_a",64.749,1.0647,2.273,2,1,2
"knn dla p=2, k=1, agregator mediana",87.602,1.9922,5.4609,2,1,3
"knn dla p=2, k=1, agregator minkara1.5",87.553,3.5021,17.5106,2,1,4
"knn dla p=2, k=1, agregator minkara3.0",87.321,1.9932,5.4743,2,1,5
"knn dla p=2, k=1, agregator wazonyrand",87.334,2.916,12.8567,2,1,6
"knn dla p=2, k=3, agregator moda",64.835,1.092,2.4192,2,3,1
"knn dla p=2, k=3, agregator srednia_a",61.647,0.9061,1.669,2,3,2
"knn dla p=2, k=3, agregator mediana",61.647,0.9061,1.669,2,3,3
"knn dla p=2, k=3, agregator minkara1.5",70.636,1.2907,3.119,2,3,4
"knn dla p=2, k=3, agregator minkara3.0",61.647,0.9061,1.669,2,3,5
"knn dla p=2, k=3, agregator wazonyrand",66.63,1.1232,2.457,2,3,6
"knn dla p=2, k=5, agregator moda",63.149,1.0352,2.2349,2,5,1
"knn dla p=2, k=5, agregator srednia_a",61.927,0.8506,1.4193,2,5,2
"knn dla p=2, k=5, agregator mediana",60.071,0.843,1.4584,2,5,3
"knn dla p=2, k=5, agregator minkara1.5",77.464,1.6121,4.3842,2,5,4
"knn dla p=2, k=5, agregator minkara3.0",62.318,0.8617,1.4451,2,5,5
"knn dla p=2, k=5, agregator wazonyrand",68.487,1.1819,2.6725,2,5,6
"knn dla p=2, k=7, agregator moda",62.392,1.0104,2.1292,2,7,1
"knn dla p=2, k=7, agregator srednia_a",62.538,0.8281,1.3113,2,7,2
"knn dla p=2, k=7, agregator mediana",59.668,0.8105,1.3404,2,7,3
