"","err","mad","mse","p","k","aggId"
"knn dla p=1, k=1, agregator moda",55.986,0.678,0.935,1,1,1
"knn dla p=1, k=1, agregator srednia_a",53.914,0.6521,0.9062,1,1,2
"knn dla p=1, k=1, agregator mediana",59.012,0.6706,0.8509,1,1,3
"knn dla p=1, k=1, agregator minkara1.5",98.152,2.2374,5.8461,1,1,4
"knn dla p=1, k=1, agregator minkara3.0",60.857,0.6751,0.8228,1,1,5
"knn dla p=1, k=1, agregator wazonyrand",71.577,0.97,1.5422,1,1,6
"knn dla p=1, k=3, agregator moda",54.43,0.6448,0.8693,1,3,1
"knn dla p=1, k=3, agregator srednia_a",53.028,0.5982,0.7445,1,3,2
"knn dla p=1, k=3, agregator mediana",53.028,0.5982,0.7445,1,3,3
"knn dla p=1, k=3, agregator minkara1.5",58.345,0.7319,1.0716,1,3,4
"knn dla p=1, k=3, agregator minkara3.0",53.028,0.5982,0.7445,1,3,5
"knn dla p=1, k=3, agregator wazonyrand",57.017,0.6943,0.9853,1,3,6
"knn dla p=1, k=5, agregator moda",50.37,0.5827,0.7512,1,5,1
"knn dla p=1, k=5, agregator srednia_a",49.114,0.5525,0.6825,1,5,2
"knn dla p=1, k=5, agregator mediana",49.039,0.5561,0.6965,1,5,3
"knn dla p=1, k=5, agregator minkara1.5",61.966,0.8324,1.3331,1,5,4
"knn dla p=1, k=5, agregator minkara3.0",49.188,0.5532,0.6832,1,5,5
"knn dla p=1, k=5, agregator wazonyrand",57.237,0.6928,0.9632,1,5,6
"knn dla p=1, k=7, agregator moda",50.888,0.5798,0.7335,1,7,1
"knn dla p=1, k=7, agregator srednia_a",48.23,0.5392,0.6633,1,7,2
"knn dla p=1, k=7, agregator mediana",48.377,0.5414,0.6626,1,7,3
"knn dla p=1, k=7, agregator minkara1.5",65.733,0.924,1.5562,1,7,4
"knn dla p=1, k=7, agregator minkara3.0",48.672,0.5429,0.6655,1,7,5
"knn dla p=1, k=7, agregator wazonyrand",57.31,0.7002,0.9942,1,7,6
"knn dla p=1, k=9, agregator moda",50.445,0.582,0.7519,1,9,1
"knn dla p=1, k=9, agregator srednia_a",47.27,0.5355,0.6714,1,9,2
"knn dla p=1, k=9, agregator mediana",47.785,0.5392,0.6722,1,9,3
"knn dla p=1, k=9, agregator minkara1.5",68.761,1.0052,1.7762,1,9,4
"knn dla p=1, k=9, agregator minkara3.0",48.673,0.5503,0.6921,1,9,5
"knn dla p=1, k=9, agregator wazonyrand",55.539,0.6898,1.0119,1,9,6
"knn dla p=1, k=11, agregator moda",50.371,0.5732,0.7268,1,11,1
"knn dla p=1, k=11, agregator srednia_a",47.565,0.5362,0.6692,1,11,2
"knn dla p=1, k=11, agregator mediana",47.712,0.5362,0.6662,1,11,3
"knn dla p=1, k=11, agregator minkara1.5",71.714,1.0783,1.9734,1,11,4
"knn dla p=1, k=11, agregator minkara3.0",48.895,0.5488,0.6847,1,11,5
"knn dla p=1, k=11, agregator wazonyrand",57.461,0.7135,1.04,1,11,6
"knn dla p=1, k=13, agregator moda",49.781,0.5672,0.7224,1,13,1
"knn dla p=1, k=13, agregator srednia_a",46.826,0.5259,0.653,1,13,2
"knn dla p=1, k=13, agregator mediana",47.785,0.537,0.667,1,13,3
"knn dla p=1, k=13, agregator minkara1.5",74.077,1.1425,2.1484,1,13,4
"knn dla p=1, k=13, agregator minkara3.0",48.525,0.5414,0.6685,1,13,5
"knn dla p=1, k=13, agregator wazonyrand",55.245,0.6913,1.0178,1,13,6
"knn dla p=1, k=15, agregator moda",48.893,0.5562,0.7069,1,15,1
"knn dla p=1, k=15, agregator srednia_a",45.866,0.5141,0.6337,1,15,2
"knn dla p=1, k=15, agregator mediana",46.382,0.5214,0.647,1,15,3
"knn dla p=1, k=15, agregator minkara1.5",76.144,1.2023,2.3219,1,15,4
"knn dla p=1, k=15, agregator minkara3.0",47.196,0.5318,0.6662,1,15,5
"knn dla p=1, k=15, agregator wazonyrand",57.829,0.7164,1.0237,1,15,6
"knn dla p=1, k=17, agregator moda",48.45,0.5517,0.6995,1,17,1
